tenure,InternetService,OnlineSecurity,TechSupport,Contract,MonthlyCharges,Churn
25,DSL,Yes,Yes,Month-to-month,69.5,No
8,Fiber optic,No,No,Month-to-month,80.65,Yes
60,DSL,Yes,Yes,One year,74.85,No
18,Fiber optic,No,No,Month-to-month,95.45,Yes
63,Fiber optic,Yes,No,One year,99.65,No
66,Fiber optic,No,Yes,One year,108.45,No
34,No,No internet service,No internet service,Two year,24.95,No
72,Fiber optic,No,Yes,Two year,107.5,No
47,Fiber optic,No,No,Month-to-month,100.5,No
60,Fiber optic,No,No,Month-to-month,89.9,No
72,DSL,Yes,No,Two year,42.1,No
18,DSL,No,Yes,One year,54.4,No
9,Fiber optic,No,No,Month-to-month,94.4,Yes
3,DSL,No,Yes,Month-to-month,75.3,No
47,Fiber optic,No,No,One year,78.9,No
31,DSL,No,Yes,Two year,79.2,No
50,No,No internet service,No internet service,Two year,20.15,No
10,Fiber optic,Yes,No,Month-to-month,79.85,No
1,DSL,No,Yes,Month-to-month,49.05,No
52,No,No internet service,No internet service,One year,20.4,No
64,Fiber optic,Yes,Yes,Two year,111.6,No
62,No,No internet service,No internet service,Two year,24.25,No
3,DSL,Yes,Yes,Month-to-month,64.5,No
56,Fiber optic,Yes,No,One year,110.5,No
46,DSL,No,No,One year,55.65,No
8,DSL,Yes,No,Month-to-month,54.65,No
30,DSL,Yes,No,Month-to-month,74.75,No
45,No,No internet service,No internet service,One year,25.9,No
1,Fiber optic,No,No,Month-to-month,79.35,Yes
11,DSL,Yes,No,Month-to-month,50.55,No
7,Fiber optic,No,No,Month-to-month,75.15,Yes
42,Fiber optic,No,Yes,Month-to-month,103.8,No
49,No,No internet service,No internet service,Two year,20.15,No
9,Fiber optic,No,No,Month-to-month,99.3,No
35,DSL,Yes,No,One year,62.15,No
48,No,No internet service,No internet service,Two year,20.65,No
46,No,No internet service,No internet service,Two year,19.95,No
29,DSL,No,No,Month-to-month,33.75,No
30,Fiber optic,No,No,Month-to-month,82.05,No
1,Fiber optic,No,Yes,Month-to-month,74.7,No
66,DSL,Yes,Yes,Two year,84,No
65,Fiber optic,Yes,No,Month-to-month,111.05,No
72,Fiber optic,No,No,Two year,100.9,No
12,Fiber optic,Yes,No,Month-to-month,78.95,Yes
71,DSL,Yes,Yes,One year,66.85,No
5,No,No internet service,No internet service,Month-to-month,21.05,Yes
52,No,No internet service,No internet service,Two year,21,No
25,Fiber optic,No,No,Month-to-month,98.5,Yes
1,No,No internet service,No internet service,Month-to-month,20.2,No
1,No,No internet service,No internet service,Month-to-month,19.45,No
38,Fiber optic,No,Yes,One year,95,No
66,DSL,No,No,One year,45.55,No
68,Fiber optic,No,Yes,Two year,110,Yes
5,DSL,No,No,Month-to-month,24.3,No
72,Fiber optic,Yes,No,One year,104.15,No
32,DSL,Yes,No,One year,30.15,No
43,Fiber optic,No,No,One year,94.35,No
72,No,No internet service,No internet service,Two year,19.4,No
55,Fiber optic,Yes,No,Month-to-month,96.75,Yes
52,DSL,Yes,Yes,One year,57.95,No
43,Fiber optic,No,No,Month-to-month,91.65,No
37,Fiber optic,No,No,Month-to-month,76.5,Yes
64,DSL,No,Yes,Two year,54.6,No
3,Fiber optic,Yes,No,Month-to-month,89.85,No
36,DSL,Yes,No,Two year,31.05,No
10,Fiber optic,Yes,No,Month-to-month,100.25,Yes
41,No,No internet service,No internet service,Two year,20.65,No
27,Fiber optic,No,Yes,Month-to-month,85.2,No
56,Fiber optic,No,No,One year,99.8,No
6,No,No internet service,No internet service,Month-to-month,20.7,No
3,Fiber optic,No,No,Month-to-month,74.4,Yes
7,DSL,Yes,No,Month-to-month,50.7,No
4,No,No internet service,No internet service,Month-to-month,20.85,No
33,Fiber optic,Yes,Yes,Two year,88.95,No
27,Fiber optic,No,No,Month-to-month,78.05,Yes
72,No,No internet service,No internet service,Two year,23.55,No
1,No,No internet service,No internet service,Month-to-month,19.75,No
71,DSL,Yes,No,One year,56.45,No
13,Fiber optic,No,No,Month-to-month,85.95,No
25,DSL,Yes,No,Month-to-month,58.6,Yes
67,DSL,No,Yes,Two year,50.55,No
1,DSL,No,No,Month-to-month,35.45,Yes
2,DSL,No,No,Month-to-month,44.35,Yes
43,No,No internet service,No internet service,Two year,25.7,No
23,Fiber optic,Yes,No,Month-to-month,75,No
64,No,No internet service,No internet service,Two year,20.2,No
57,No,No internet service,No internet service,Two year,19.6,No
1,Fiber optic,No,No,Month-to-month,70.45,Yes
72,DSL,Yes,Yes,Two year,88.05,No
8,DSL,Yes,Yes,Month-to-month,71.15,Yes
61,Fiber optic,No,No,Two year,101.05,No
64,Fiber optic,Yes,No,One year,84.3,No
71,No,No internet service,No internet service,Two year,23.95,No
65,Fiber optic,Yes,Yes,Two year,99.05,No
3,No,No internet service,No internet service,One year,19.6,No
1,DSL,No,No,Month-to-month,45.65,Yes
30,DSL,No,No,One year,64.5,No
15,DSL,No,Yes,Month-to-month,69.5,No
8,DSL,No,Yes,Month-to-month,68.55,No
7,Fiber optic,No,No,Month-to-month,95,Yes
70,Fiber optic,Yes,No,One year,108.15,No
62,DSL,Yes,Yes,Two year,86.1,No
6,No,No internet service,No internet service,Month-to-month,19.7,No
14,Fiber optic,No,No,Month-to-month,80.9,No
22,Fiber optic,No,No,Month-to-month,84.15,No
22,No,No internet service,No internet service,One year,20.15,No
16,DSL,Yes,No,Two year,64.25,No
10,No,No internet service,No internet service,Two year,25.7,No
13,DSL,Yes,No,Month-to-month,56,No
20,Fiber optic,Yes,No,Month-to-month,82.4,Yes
2,Fiber optic,No,No,Month-to-month,69.7,No
53,DSL,No,Yes,Two year,73.9,No
11,No,No internet service,No internet service,One year,20.6,No
69,No,No internet service,No internet service,Two year,19.9,No
4,Fiber optic,No,No,Month-to-month,70.9,Yes
72,DSL,Yes,Yes,Two year,89.05,No
58,DSL,No,No,Month-to-month,45.3,Yes
16,No,No internet service,No internet service,Month-to-month,20.4,No
43,Fiber optic,Yes,Yes,One year,84.25,No
2,Fiber optic,No,Yes,Month-to-month,104.4,Yes
14,DSL,No,Yes,Two year,81.95,No
53,Fiber optic,No,No,One year,94.85,Yes
32,No,No internet service,No internet service,One year,20.55,No
34,No,No internet service,No internet service,Month-to-month,24.7,No
15,Fiber optic,No,No,Month-to-month,74.45,Yes
7,Fiber optic,Yes,No,Month-to-month,76.45,Yes
15,Fiber optic,No,No,Month-to-month,105.35,No
61,No,No internet service,No internet service,One year,20.55,No
1,DSL,No,No,Month-to-month,29.95,Yes
1,DSL,No,No,Month-to-month,45.3,No
8,Fiber optic,No,No,Month-to-month,84.5,Yes
33,DSL,Yes,No,One year,74.75,No
13,Fiber optic,No,No,Month-to-month,79.25,Yes
1,DSL,No,No,Month-to-month,24.8,Yes
20,DSL,No,No,Month-to-month,51.8,No
3,DSL,No,Yes,Month-to-month,30.4,No
13,No,No internet service,No internet service,One year,19.65,No
40,DSL,No,No,Month-to-month,56.6,No
43,DSL,Yes,Yes,One year,71.9,No
6,Fiber optic,No,No,Month-to-month,91,Yes
69,No,No internet service,No internet service,Two year,19.75,No
72,Fiber optic,Yes,No,Two year,109.7,No
59,No,No internet service,No internet service,Two year,19.3,No
20,Fiber optic,Yes,Yes,Month-to-month,96.55,No
24,No,No internet service,No internet service,Two year,24.1,No
59,Fiber optic,No,Yes,Month-to-month,111.35,No
72,Fiber optic,No,Yes,Two year,112.25,No
1,No,No internet service,No internet service,Month-to-month,20.75,No
27,Fiber optic,Yes,Yes,One year,101.9,No
14,Fiber optic,No,Yes,Month-to-month,80.05,No
71,Fiber optic,Yes,No,Two year,105.55,No
13,Fiber optic,No,No,Month-to-month,78.3,No
44,Fiber optic,No,No,Month-to-month,68.85,No
33,Fiber optic,No,Yes,One year,79.95,No
72,DSL,Yes,Yes,Two year,55.45,No
1,Fiber optic,No,No,Month-to-month,79.9,Yes
19,Fiber optic,Yes,Yes,Month-to-month,106.6,Yes
64,Fiber optic,No,Yes,One year,102.45,No
2,DSL,No,No,Month-to-month,46,Yes
1,DSL,No,No,Month-to-month,25.25,No
61,No,No internet service,No internet service,Two year,19.75,No
29,No,No internet service,No internet service,One year,20,No
23,Fiber optic,No,No,Month-to-month,86.8,No
57,DSL,Yes,No,Month-to-month,58.75,No
72,DSL,Yes,Yes,Two year,45.25,No
66,DSL,Yes,Yes,Two year,56.6,No
65,DSL,No,Yes,Two year,84.2,No
8,Fiber optic,No,No,Month-to-month,80,No
4,Fiber optic,No,No,Month-to-month,70.15,Yes
71,No,No internet service,No internet service,Two year,24.75,No
1,No,No internet service,No internet service,One year,20.2,No
4,DSL,No,Yes,Month-to-month,50.05,Yes
12,No,No internet service,No internet service,One year,19.35,No
24,DSL,Yes,No,One year,50.6,No
31,DSL,Yes,Yes,One year,81.15,No
1,DSL,No,No,Month-to-month,55.2,Yes
30,Fiber optic,No,Yes,Month-to-month,89.9,No
47,DSL,Yes,Yes,Two year,85.3,No
54,Fiber optic,Yes,Yes,Two year,108,No
50,Fiber optic,Yes,Yes,Month-to-month,93.5,No
1,Fiber optic,Yes,No,Month-to-month,84.6,Yes
72,No,No internet service,No internet service,Two year,20.25,No
29,No,No internet service,No internet service,Month-to-month,25.15,No
2,DSL,No,No,Month-to-month,54.4,Yes
10,DSL,No,Yes,Two year,29.6,No
18,Fiber optic,No,No,Month-to-month,73.15,No
11,Fiber optic,No,No,Month-to-month,95,Yes
16,No,No internet service,No internet service,Two year,19.75,No
72,DSL,No,Yes,Two year,86.6,No
72,Fiber optic,No,Yes,Two year,109.2,No
41,DSL,Yes,Yes,One year,74.7,No
65,Fiber optic,Yes,No,Month-to-month,94.4,No
13,DSL,No,No,Month-to-month,54.8,No
4,Fiber optic,Yes,No,Month-to-month,75.35,No
41,DSL,No,No,One year,65,No
15,Fiber optic,No,No,Month-to-month,74.4,Yes
1,DSL,Yes,No,Month-to-month,48.55,Yes
42,Fiber optic,Yes,No,One year,99,No
51,Fiber optic,Yes,No,One year,93.5,No
2,Fiber optic,No,No,Month-to-month,70.4,Yes
1,DSL,No,No,Month-to-month,40.2,Yes
32,DSL,No,Yes,One year,83.7,No
10,No,No internet service,No internet service,Month-to-month,19.85,No
67,DSL,No,Yes,Two year,59.55,No
61,Fiber optic,Yes,Yes,Two year,115.1,No
50,Fiber optic,Yes,Yes,One year,114.35,No
2,DSL,No,No,Month-to-month,44.6,Yes
29,DSL,Yes,No,Month-to-month,45,No
3,DSL,No,No,Month-to-month,41.15,Yes
13,Fiber optic,No,No,Month-to-month,106.9,Yes
57,Fiber optic,No,No,Month-to-month,89.85,No
31,DSL,Yes,Yes,Two year,49.85,No
45,Fiber optic,Yes,Yes,One year,113.3,No
61,DSL,Yes,Yes,Two year,88.1,No
50,No,No internet service,No internet service,Two year,24.9,No
19,Fiber optic,Yes,Yes,Month-to-month,105,No
59,No,No internet service,No internet service,Two year,19.35,Yes
71,No,No internet service,No internet service,Two year,24.25,No
16,Fiber optic,No,Yes,Month-to-month,94.45,Yes
57,DSL,Yes,Yes,Two year,59.75,No
1,DSL,No,No,Month-to-month,24.8,Yes
20,Fiber optic,No,Yes,Month-to-month,107.05,No
1,Fiber optic,No,No,Month-to-month,70.6,Yes
5,Fiber optic,No,Yes,Month-to-month,85.4,Yes
52,Fiber optic,No,No,Month-to-month,105.05,Yes
21,DSL,Yes,No,Month-to-month,64.95,No
14,DSL,No,Yes,Month-to-month,55,No
5,DSL,No,No,Month-to-month,50.55,No
6,DSL,Yes,No,Month-to-month,55.15,No
10,DSL,No,No,Month-to-month,51.2,No
1,No,No internet service,No internet service,Month-to-month,25.4,No
68,DSL,Yes,No,Month-to-month,54.45,No
18,Fiber optic,No,No,Month-to-month,95.15,Yes
22,Fiber optic,No,No,One year,76,No
20,DSL,No,No,Month-to-month,44.35,No
1,Fiber optic,No,No,Month-to-month,70,Yes
8,Fiber optic,No,No,Month-to-month,74.5,Yes
10,DSL,No,No,Month-to-month,44.85,Yes
24,Fiber optic,No,No,Month-to-month,76.1,Yes
35,DSL,Yes,No,One year,61.2,No
23,Fiber optic,No,Yes,One year,86.8,No
6,Fiber optic,No,No,Month-to-month,89.35,No
12,No,No internet service,No internet service,Month-to-month,19.7,No
1,No,No internet service,No internet service,Month-to-month,20.25,No
71,Fiber optic,No,No,Two year,76.05,No
35,Fiber optic,No,No,Month-to-month,100.8,No
40,DSL,No,No,Month-to-month,74.55,No
1,Fiber optic,Yes,No,Month-to-month,73.6,Yes
23,DSL,No,No,One year,64.9,No
4,Fiber optic,No,No,Month-to-month,95.45,Yes
4,Fiber optic,No,Yes,Month-to-month,90.4,No
68,DSL,No,Yes,Two year,60.3,No
38,Fiber optic,No,No,Month-to-month,81.85,No
52,No,No internet service,No internet service,Two year,24.8,No
32,Fiber optic,No,No,Month-to-month,74.9,Yes
29,DSL,No,Yes,Two year,75.55,No
38,Fiber optic,No,No,Month-to-month,101.15,No
48,DSL,Yes,No,One year,78.75,No
1,No,No internet service,No internet service,Month-to-month,19.25,No
22,Fiber optic,Yes,Yes,Month-to-month,89.05,No
43,Fiber optic,Yes,Yes,Two year,115.05,No
5,Fiber optic,No,No,Month-to-month,69.35,No
5,Fiber optic,No,No,Month-to-month,80.6,Yes
51,Fiber optic,Yes,Yes,One year,110.05,No
71,No,No internet service,No internet service,Two year,19.9,No
38,DSL,Yes,Yes,One year,80.3,Yes
24,Fiber optic,No,No,Month-to-month,93.15,Yes
35,Fiber optic,No,Yes,Month-to-month,91.5,No
54,DSL,Yes,Yes,One year,82.45,Yes
72,DSL,No,Yes,Two year,60,No
1,DSL,No,No,Month-to-month,44.8,No
9,DSL,Yes,No,One year,48.6,No
69,DSL,Yes,Yes,Two year,60.05,No
52,Fiber optic,No,Yes,Month-to-month,102.7,No
11,Fiber optic,No,Yes,Month-to-month,82.9,No
2,Fiber optic,No,No,Month-to-month,70.35,Yes
28,DSL,No,No,Month-to-month,35.9,No
17,Fiber optic,No,No,Month-to-month,82.65,No
35,No,No internet service,No internet service,Two year,19.85,No
8,No,No internet service,No internet service,One year,19.2,No
46,Fiber optic,No,No,One year,94.9,No
7,Fiber optic,No,No,Month-to-month,73.85,Yes
2,Fiber optic,No,No,Month-to-month,80.6,Yes
68,DSL,No,Yes,One year,75.8,Yes
43,Fiber optic,No,No,Two year,104.6,Yes
68,DSL,Yes,Yes,Two year,88.15,No
36,Fiber optic,No,No,Month-to-month,94.8,No
63,Fiber optic,No,No,Month-to-month,103.4,Yes
32,DSL,No,Yes,Month-to-month,54.65,No
71,DSL,Yes,Yes,Two year,85.75,No
66,DSL,Yes,No,Month-to-month,67.45,No
63,No,No internet service,No internet service,One year,20.5,No
41,No,No internet service,No internet service,One year,20.25,No
1,Fiber optic,No,No,Month-to-month,72.1,No
2,Fiber optic,No,No,Month-to-month,90.4,Yes
70,No,No internet service,No internet service,Two year,19.45,No
23,DSL,No,No,Month-to-month,44.95,No
64,Fiber optic,Yes,No,One year,97,No
37,DSL,Yes,Yes,Two year,62.8,No
17,DSL,No,No,One year,44.6,No
7,Fiber optic,No,No,Month-to-month,89.15,No
4,Fiber optic,No,No,Month-to-month,84.8,Yes
21,DSL,Yes,No,Month-to-month,41.9,Yes
10,Fiber optic,No,No,Month-to-month,80.25,Yes
16,DSL,Yes,No,Month-to-month,54.1,No
64,Fiber optic,No,Yes,Two year,105.25,No
27,DSL,Yes,No,Month-to-month,30.75,Yes
42,Fiber optic,Yes,No,One year,97.1,No
5,No,No internet service,No internet service,Month-to-month,20.2,No
41,Fiber optic,No,Yes,Two year,98.8,No
58,DSL,No,No,One year,50.3,No
47,No,No internet service,No internet service,Two year,20.55,No
18,Fiber optic,No,Yes,Month-to-month,75.9,No
5,Fiber optic,No,No,Month-to-month,96.5,Yes
23,DSL,Yes,No,Month-to-month,59.95,No
1,No,No internet service,No internet service,Month-to-month,19.15,No
71,Fiber optic,No,No,One year,98.65,No
72,Fiber optic,Yes,Yes,Two year,112.6,No
33,No,No internet service,No internet service,One year,20.6,No
2,Fiber optic,No,No,Month-to-month,85.65,Yes
24,DSL,Yes,Yes,Two year,35.75,No
56,Fiber optic,No,Yes,One year,99.75,No
37,Fiber optic,No,No,Month-to-month,96.1,No
43,DSL,No,Yes,One year,85.1,No
1,DSL,No,No,Month-to-month,25.35,No
25,Fiber optic,No,Yes,Month-to-month,104.95,Yes
61,DSL,Yes,Yes,Two year,89.65,No
17,Fiber optic,No,Yes,One year,86.75,No
41,Fiber optic,No,Yes,One year,86.2,No
1,DSL,No,No,Month-to-month,50.65,Yes
72,DSL,Yes,Yes,Two year,64.8,No
1,Fiber optic,No,No,Month-to-month,90.85,Yes
48,Fiber optic,No,No,Two year,108.1,No
11,No,No internet service,No internet service,Month-to-month,19.95,Yes
55,Fiber optic,No,No,Month-to-month,85.45,Yes
42,DSL,Yes,Yes,One year,54.75,No
44,Fiber optic,No,No,Month-to-month,90.4,No
1,DSL,No,No,Month-to-month,44,No
27,Fiber optic,No,No,Month-to-month,95.6,No
27,DSL,No,Yes,Month-to-month,84.8,No
2,DSL,No,No,Month-to-month,44.3,No
19,No,No internet service,No internet service,Month-to-month,19.9,No
42,Fiber optic,No,No,Month-to-month,95.05,No
66,DSL,Yes,Yes,Two year,90.05,No
33,Fiber optic,Yes,Yes,Month-to-month,109.9,No
34,Fiber optic,No,No,Month-to-month,73.95,Yes
33,DSL,No,Yes,Month-to-month,54.6,No
23,No,No internet service,No internet service,One year,20.05,No
32,No,No internet service,No internet service,One year,19.75,No
11,No,No internet service,No internet service,One year,20.05,No
69,Fiber optic,No,No,Month-to-month,99.45,Yes
68,DSL,Yes,Yes,One year,55.9,No
20,No,No internet service,No internet service,Two year,19.7,No
72,No,No internet service,No internet service,Two year,19.8,No
60,Fiber optic,Yes,No,One year,95.4,No
32,Fiber optic,No,No,Month-to-month,93.95,No
1,No,No internet service,No internet service,Month-to-month,19.9,Yes
1,No,No internet service,No internet service,Month-to-month,19.6,Yes
3,Fiber optic,No,No,Month-to-month,81.35,Yes
46,No,No internet service,No internet service,One year,24.45,No
29,Fiber optic,No,No,Month-to-month,74.95,No
51,Fiber optic,No,Yes,Month-to-month,87.35,No
48,Fiber optic,No,No,Month-to-month,70.65,No
16,Fiber optic,No,No,Month-to-month,73.25,No
70,Fiber optic,No,Yes,Two year,98.7,No
40,No,No internet service,No internet service,Two year,24.8,No
22,Fiber optic,No,No,Month-to-month,83.3,Yes
1,Fiber optic,No,No,Month-to-month,75.3,Yes
5,No,No internet service,No internet service,Month-to-month,24.3,No
7,Fiber optic,No,No,Month-to-month,69.85,No
29,Fiber optic,No,Yes,One year,100.55,No
44,No,No internet service,No internet service,One year,25.7,No
10,DSL,Yes,No,Month-to-month,40.7,No
55,DSL,No,No,Month-to-month,51.65,No
52,Fiber optic,No,No,One year,105.1,No
10,Fiber optic,No,No,Month-to-month,85.95,No
18,Fiber optic,No,No,Month-to-month,75.6,No
68,DSL,Yes,Yes,One year,58.25,No
61,No,No internet service,No internet service,Month-to-month,19.4,Yes
72,DSL,Yes,Yes,Two year,65.2,No
2,DSL,Yes,No,Month-to-month,53.45,No
12,DSL,No,No,Month-to-month,45.4,Yes
41,No,No internet service,No internet service,Two year,19.75,No
26,DSL,No,Yes,Month-to-month,44.45,No
36,No,No internet service,No internet service,One year,20.85,No
72,Fiber optic,Yes,Yes,Two year,114.05,No
35,Fiber optic,No,Yes,Month-to-month,89.85,No
1,DSL,No,Yes,Month-to-month,55.05,No
16,Fiber optic,Yes,Yes,Month-to-month,112.95,No
49,Fiber optic,Yes,No,Month-to-month,101.55,No
54,Fiber optic,Yes,Yes,One year,114.65,No
18,DSL,Yes,No,Month-to-month,64.8,No
36,Fiber optic,No,No,Month-to-month,80.4,No
60,Fiber optic,No,No,Month-to-month,105.9,Yes
1,Fiber optic,No,No,Month-to-month,69.55,Yes
52,No,No internet service,No internet service,Two year,25.05,No
8,Fiber optic,No,No,Month-to-month,94.75,No
72,Fiber optic,Yes,Yes,Two year,105.5,No
64,No,No internet service,No internet service,One year,24.7,No
22,DSL,Yes,Yes,Month-to-month,69.75,No
60,DSL,No,Yes,Month-to-month,60.2,No
28,Fiber optic,No,No,Month-to-month,81.05,Yes
61,No,No internet service,No internet service,Two year,24.4,No
24,Fiber optic,No,No,Month-to-month,104.15,No
28,Fiber optic,No,Yes,One year,92.9,No
30,DSL,No,Yes,Two year,80.8,No
2,No,No internet service,No internet service,Month-to-month,20,No
1,Fiber optic,No,No,Month-to-month,75.1,No
6,No,No internet service,No internet service,Month-to-month,19.65,No
24,DSL,No,No,Month-to-month,69.45,No
4,Fiber optic,No,No,Month-to-month,101.15,Yes
7,Fiber optic,No,No,Month-to-month,99.8,Yes
72,Fiber optic,Yes,Yes,Two year,116.05,No
70,DSL,No,Yes,Two year,40.05,No
64,Fiber optic,No,Yes,Two year,102.1,No
72,Fiber optic,No,No,One year,89.7,No
44,No,No internet service,No internet service,Two year,19.9,No
13,DSL,No,No,Month-to-month,55.95,Yes
17,No,No internet service,No internet service,One year,20.65,No
1,DSL,No,No,Month-to-month,55,Yes
9,DSL,No,No,Month-to-month,70.05,No
24,DSL,Yes,Yes,Month-to-month,53.6,No
1,Fiber optic,No,No,Month-to-month,74.7,Yes
24,Fiber optic,No,No,Month-to-month,80.25,Yes
35,DSL,No,Yes,Month-to-month,76.05,No
7,DSL,Yes,Yes,Month-to-month,75.7,No
5,Fiber optic,No,Yes,Month-to-month,96.1,Yes
15,Fiber optic,No,No,Month-to-month,69,Yes
11,No,No internet service,No internet service,Two year,19.65,No
48,DSL,Yes,No,Month-to-month,45.3,Yes
20,Fiber optic,No,No,Month-to-month,81.45,No
72,Fiber optic,No,Yes,One year,108.5,No
8,Fiber optic,No,No,Month-to-month,83.55,Yes
72,Fiber optic,No,No,Two year,84.5,No
15,Fiber optic,No,No,Month-to-month,100.15,No
72,DSL,No,Yes,Two year,88.6,No
0,DSL,Yes,Yes,Two year,52.55,No
1,Fiber optic,No,No,Month-to-month,74.35,Yes
63,Fiber optic,No,No,Two year,104.8,No
2,DSL,No,No,Month-to-month,59,No
2,Fiber optic,Yes,No,Month-to-month,74.4,Yes
61,DSL,No,No,One year,64.05,No
1,No,No internet service,No internet service,Month-to-month,20.4,No
22,DSL,No,No,One year,43.75,Yes
28,DSL,Yes,Yes,Month-to-month,60.9,No
70,No,No internet service,No internet service,Two year,19.8,No
5,DSL,No,No,Month-to-month,28.45,Yes
12,Fiber optic,Yes,No,Month-to-month,99.7,Yes
34,Fiber optic,Yes,Yes,One year,116.25,No
71,Fiber optic,Yes,No,Two year,80.7,No
70,DSL,Yes,No,One year,65.2,No
52,Fiber optic,Yes,Yes,Month-to-month,84.05,No
69,DSL,Yes,Yes,Two year,79.45,No
20,Fiber optic,No,No,Month-to-month,94.1,Yes
11,Fiber optic,No,No,Month-to-month,78,No
2,Fiber optic,No,Yes,Month-to-month,94.2,Yes
6,Fiber optic,No,Yes,Month-to-month,80.5,Yes
1,No,No internet service,No internet service,Month-to-month,19.85,No
20,Fiber optic,Yes,Yes,One year,94.3,No
61,Fiber optic,Yes,No,Month-to-month,106.45,No
5,Fiber optic,No,No,Month-to-month,74.35,Yes
56,Fiber optic,No,Yes,Month-to-month,105.45,No
30,Fiber optic,Yes,Yes,Month-to-month,95,No
40,Fiber optic,No,Yes,Month-to-month,104.8,Yes
28,DSL,Yes,Yes,One year,54.3,No
5,Fiber optic,No,No,Month-to-month,70.05,No
27,Fiber optic,Yes,No,Month-to-month,75.2,Yes
12,No,No internet service,No internet service,Month-to-month,20.05,No
67,Fiber optic,No,No,One year,105.4,No
29,DSL,No,No,Month-to-month,51.6,No
55,Fiber optic,No,No,Month-to-month,85.5,No
23,Fiber optic,No,No,Month-to-month,75.6,Yes
34,Fiber optic,No,No,Month-to-month,100.05,Yes
52,Fiber optic,Yes,No,One year,91.25,No
72,Fiber optic,Yes,Yes,Two year,115.75,No
58,Fiber optic,No,Yes,One year,94.7,No
35,No,No internet service,No internet service,Two year,19.6,No
56,Fiber optic,No,Yes,Two year,99.9,No
24,No,No internet service,No internet service,Two year,21.1,No
70,No,No internet service,No internet service,Two year,20.05,No
2,Fiber optic,No,No,Month-to-month,79.95,No
68,Fiber optic,No,Yes,One year,107.15,No
1,Fiber optic,No,No,Month-to-month,85,Yes
12,Fiber optic,No,No,Month-to-month,89.55,No
63,Fiber optic,No,No,Month-to-month,81.55,No
33,DSL,Yes,No,One year,58.45,No
69,Fiber optic,No,No,One year,95.65,No
60,DSL,No,Yes,Two year,80.6,No
72,Fiber optic,Yes,Yes,Two year,113.1,No
11,DSL,No,No,Month-to-month,58.95,No
1,No,No internet service,No internet service,Month-to-month,19.55,No
10,Fiber optic,No,No,Month-to-month,86.05,Yes
13,DSL,Yes,Yes,Month-to-month,45.55,Yes
34,Fiber optic,No,No,One year,78.95,No
39,Fiber optic,No,No,Month-to-month,86.3,Yes
65,Fiber optic,No,Yes,One year,105.05,No
50,Fiber optic,Yes,No,One year,101.9,No
15,No,No internet service,No internet service,Month-to-month,19.75,No
72,Fiber optic,Yes,No,Two year,110.3,No
